liveness,tempo,energy,analysis_url,speechiness,mode,instrumentalness,key,duration_ms,id,name,popularity,uri,acousticness,track_href,time_signature,loudness,valence,type,danceability
0.0435,118.986,0.551,https://api.spotify.com/v1/audio-analysis/6UZqJ3WdQf1y573EKVn6cc,0.044,0,0.243,5,332773,6UZqJ3WdQf1y573EKVn6cc,Elongi,49,spotify:track:6UZqJ3WdQf1y573EKVn6cc,0.00716,https://api.spotify.com/v1/tracks/6UZqJ3WdQf1y573EKVn6cc,4,-12.599,0.303,audio_features,0.722
0.0803,126.219,0.951,https://api.spotify.com/v1/audio-analysis/6Ay1CpxfFjUduPqFnv26lR,0.0385,1,2.93e-05,0,201547,6Ay1CpxfFjUduPqFnv26lR,They Want My Soul,38,spotify:track:6Ay1CpxfFjUduPqFnv26lR,0.00321,https://api.spotify.com/v1/tracks/6Ay1CpxfFjUduPqFnv26lR,4,-2.734,0.779,audio_features,0.651
0.106,130.086,0.868,https://api.spotify.com/v1/audio-analysis/3idIviqr5rkVrCs8ypVkEs,0.0326,0,0,3,302769,3idIviqr5rkVrCs8ypVkEs,Controverse,21,spotify:track:3idIviqr5rkVrCs8ypVkEs,0.449,https://api.spotify.com/v1/tracks/3idIviqr5rkVrCs8ypVkEs,4,-2.769,0.422,audio_features,0.806
0.177,125.014,0.751,https://api.spotify.com/v1/audio-analysis/3mmnH3pXGEKD8iEAP7x4WP,0.0278,1,0,6,236170,3mmnH3pXGEKD8iEAP7x4WP,NDIBAMBE - Radio Edit,24,spotify:track:3mmnH3pXGEKD8iEAP7x4WP,0.00312,https://api.spotify.com/v1/tracks/3mmnH3pXGEKD8iEAP7x4WP,4,-6.911,0.446,audio_features,0.756
0.369,127.954,0.897,https://api.spotify.com/v1/audio-analysis/7iDPOnnIRfhsau33KevZ2r,0.0478,1,0.000869,11,236453,7iDPOnnIRfhsau33KevZ2r,Leather Jacket,49,spotify:track:7iDPOnnIRfhsau33KevZ2r,0.00115,https://api.spotify.com/v1/tracks/7iDPOnnIRfhsau33KevZ2r,4,-4.488,0.579,audio_features,0.348
0.308,128.013,0.924,https://api.spotify.com/v1/audio-analysis/6jU2L6TdZMdGqdCVqvhCg5,0.0418,1,0.806,7,157500,6jU2L6TdZMdGqdCVqvhCg5,Utami,61,spotify:track:6jU2L6TdZMdGqdCVqvhCg5,0.0202,https://api.spotify.com/v1/tracks/6jU2L6TdZMdGqdCVqvhCg5,4,-5.383,0.307,audio_features,0.652
0.125,106.975,0.671,https://api.spotify.com/v1/audio-analysis/3qSnj1FzIKMgx6svJO2dgr,0.0459,0,2.27e-06,2,221279,3qSnj1FzIKMgx6svJO2dgr,"Push Back (Ne-Yo, Bebe Rexha, Stefflon Don)",65,spotify:track:3qSnj1FzIKMgx6svJO2dgr,0.184,https://api.spotify.com/v1/tracks/3qSnj1FzIKMgx6svJO2dgr,4,-5.127,0.706,audio_features,0.782
0.0847,125.149,0.965,https://api.spotify.com/v1/audio-analysis/3YugMfU2VvC6Vk87LLIrrh,0.0825,1,0.00157,10,263054,3YugMfU2VvC6Vk87LLIrrh,Let Me Entertain You,47,spotify:track:3YugMfU2VvC6Vk87LLIrrh,0.00335,https://api.spotify.com/v1/tracks/3YugMfU2VvC6Vk87LLIrrh,4,-4.085,0.348,audio_features,0.461
0.118,122.987,0.883,https://api.spotify.com/v1/audio-analysis/3MkuFR7t25mu7Iscp6GGiV,0.0298,1,0.0706,10,214483,3MkuFR7t25mu7Iscp6GGiV,Panic Room,74,spotify:track:3MkuFR7t25mu7Iscp6GGiV,0.0259,https://api.spotify.com/v1/tracks/3MkuFR7t25mu7Iscp6GGiV,4,-6.423,0.255,audio_features,0.578
0.329,97.919,0.634,https://api.spotify.com/v1/audio-analysis/4X1LS2LEYxKdlvHq5oZesi,0.0252,1,0.000984,7,285347,4X1LS2LEYxKdlvHq5oZesi,Sweet Home Alabama,17,spotify:track:4X1LS2LEYxKdlvHq5oZesi,0.145,https://api.spotify.com/v1/tracks/4X1LS2LEYxKdlvHq5oZesi,4,-11.058,0.935,audio_features,0.58
0.0868,137.052,0.708,https://api.spotify.com/v1/audio-analysis/6SJ8lMzqoUhDG2I2lt7Wks,0.0386,1,0.608,1,274690,6SJ8lMzqoUhDG2I2lt7Wks,When I Get to the Club,19,spotify:track:6SJ8lMzqoUhDG2I2lt7Wks,0.00618,https://api.spotify.com/v1/tracks/6SJ8lMzqoUhDG2I2lt7Wks,4,-8.299,0.309,audio_features,0.676
0.0459,116.139,0.492,https://api.spotify.com/v1/audio-analysis/0kgLjbMQkF79rI5cfyYvqk,0.0401,0,0.00694,10,390627,0kgLjbMQkF79rI5cfyYvqk,Baby Don't Break Your Baby's Heart - Digitally Remastered 1998,27,spotify:track:0kgLjbMQkF79rI5cfyYvqk,0.0372,https://api.spotify.com/v1/tracks/0kgLjbMQkF79rI5cfyYvqk,4,-7.8,0.875,audio_features,0.901
0.503,140.614,0.958,https://api.spotify.com/v1/audio-analysis/6hbSRdA4W6s6uwZgQWMG14,0.119,1,0,7,225640,6hbSRdA4W6s6uwZgQWMG14,Comme ceci danse,12,spotify:track:6hbSRdA4W6s6uwZgQWMG14,0.481,https://api.spotify.com/v1/tracks/6hbSRdA4W6s6uwZgQWMG14,4,-4.432,0.625,audio_features,0.652
0.11,169.811,0.755,https://api.spotify.com/v1/audio-analysis/24ysdDtsZjfrTIXZRKrwpw,0.0532,1,0,9,188507,24ysdDtsZjfrTIXZRKrwpw,The Difference,67,spotify:track:24ysdDtsZjfrTIXZRKrwpw,0.097,https://api.spotify.com/v1/tracks/24ysdDtsZjfrTIXZRKrwpw,4,-5.22,0.697,audio_features,0.538
0.231,125.013,0.951,https://api.spotify.com/v1/audio-analysis/4GHil1GzpwGGeGtJwxQ5pf,0.0479,1,0.897,2,193348,4GHil1GzpwGGeGtJwxQ5pf,Boomshaka,49,spotify:track:4GHil1GzpwGGeGtJwxQ5pf,0.000968,https://api.spotify.com/v1/tracks/4GHil1GzpwGGeGtJwxQ5pf,4,-5.598,0.592,audio_features,0.64
0.102,97.03,0.728,https://api.spotify.com/v1/audio-analysis/5OSUQtHDX5L0bW8MbLFlS7,0.0328,1,6.29e-05,10,284160,5OSUQtHDX5L0bW8MbLFlS7,Rumba Cha Cha,60,spotify:track:5OSUQtHDX5L0bW8MbLFlS7,0.00146,https://api.spotify.com/v1/tracks/5OSUQtHDX5L0bW8MbLFlS7,4,-7.321,0.892,audio_features,0.778
0.715,101.98,0.791,https://api.spotify.com/v1/audio-analysis/3w5hsQKiCx2rGXxj25K8ER,0.0417,0,0.000166,1,239352,3w5hsQKiCx2rGXxj25K8ER,Helm Seneen,38,spotify:track:3w5hsQKiCx2rGXxj25K8ER,0.0457,https://api.spotify.com/v1/tracks/3w5hsQKiCx2rGXxj25K8ER,4,-5.273,0.678,audio_features,0.711
0.344,125.91,0.524,https://api.spotify.com/v1/audio-analysis/2Tnfa63GNdPJ50jVtZM7dr,0.0412,0,0.0217,10,217590,2Tnfa63GNdPJ50jVtZM7dr,Nobody Else,44,spotify:track:2Tnfa63GNdPJ50jVtZM7dr,0.651,https://api.spotify.com/v1/tracks/2Tnfa63GNdPJ50jVtZM7dr,4,-10.1,0.168,audio_features,0.822
0.408,124.0,0.896,https://api.spotify.com/v1/audio-analysis/0ZzXqsQnu0QulKA65RVs8R,0.0664,1,0.0593,1,160505,0ZzXqsQnu0QulKA65RVs8R,Time To Groove - LMC X Mark McCabe,55,spotify:track:0ZzXqsQnu0QulKA65RVs8R,0.00514,https://api.spotify.com/v1/tracks/0ZzXqsQnu0QulKA65RVs8R,4,-3.282,0.674,audio_features,0.659
0.358,119.974,0.961,https://api.spotify.com/v1/audio-analysis/0xdWJjiYlfUYQVvvhdtMBp,0.0515,0,0.00048,10,260058,0xdWJjiYlfUYQVvvhdtMBp,Break You Nice - Original Version,23,spotify:track:0xdWJjiYlfUYQVvvhdtMBp,0.0791,https://api.spotify.com/v1/tracks/0xdWJjiYlfUYQVvvhdtMBp,4,-4.381,0.702,audio_features,0.659
0.111,125.01,0.684,https://api.spotify.com/v1/audio-analysis/5NyMz4f7eKvzz0eJKQBIAZ,0.0931,1,0.0295,0,330296,5NyMz4f7eKvzz0eJKQBIAZ,On The Train,39,spotify:track:5NyMz4f7eKvzz0eJKQBIAZ,0.000361,https://api.spotify.com/v1/tracks/5NyMz4f7eKvzz0eJKQBIAZ,4,-11.412,0.621,audio_features,0.899
0.331,166.043,0.703,https://api.spotify.com/v1/audio-analysis/33zcmmElV1YbRZe57biUjg,0.107,0,0,4,179693,33zcmmElV1YbRZe57biUjg,Celoso,87,spotify:track:33zcmmElV1YbRZe57biUjg,0.352,https://api.spotify.com/v1/tracks/33zcmmElV1YbRZe57biUjg,4,-4.179,0.667,audio_features,0.746
0.166,129.667,0.518,https://api.spotify.com/v1/audio-analysis/1rA3NofU8HI4R43cv8ZTMt,0.0321,1,6.31e-06,9,220840,1rA3NofU8HI4R43cv8ZTMt,The Way You Say You Do,33,spotify:track:1rA3NofU8HI4R43cv8ZTMt,0.4,https://api.spotify.com/v1/tracks/1rA3NofU8HI4R43cv8ZTMt,4,-7.274,0.315,audio_features,0.451
0.0785,129.961,0.833,https://api.spotify.com/v1/audio-analysis/0nPybnv0enLfaxIbRMBGTk,0.0299,0,0.000522,7,228040,0nPybnv0enLfaxIbRMBGTk,Pass This On,49,spotify:track:0nPybnv0enLfaxIbRMBGTk,0.0274,https://api.spotify.com/v1/tracks/0nPybnv0enLfaxIbRMBGTk,4,-5.884,0.687,audio_features,0.745
0.0904,121.001,0.85,https://api.spotify.com/v1/audio-analysis/3Cn1FSSTXeQ7hCfrbizrD0,0.0634,0,0.000106,3,255773,3Cn1FSSTXeQ7hCfrbizrD0,Last Night,59,spotify:track:3Cn1FSSTXeQ7hCfrbizrD0,0.168,https://api.spotify.com/v1/tracks/3Cn1FSSTXeQ7hCfrbizrD0,4,-5.067,0.972,audio_features,0.916
0.466,109.835,0.755,https://api.spotify.com/v1/audio-analysis/5J783SDlyitqvLFAzTm0jU,0.0678,1,0,11,172627,5J783SDlyitqvLFAzTm0jU,Chances,63,spotify:track:5J783SDlyitqvLFAzTm0jU,0.0178,https://api.spotify.com/v1/tracks/5J783SDlyitqvLFAzTm0jU,4,-6.255,0.296,audio_features,0.551
0.124,86.604,0.385,https://api.spotify.com/v1/audio-analysis/4dBI72rgkmG0gTzswyBTzz,0.0339,1,0.000226,4,265547,4dBI72rgkmG0gTzswyBTzz,Sweet Thing,61,spotify:track:4dBI72rgkmG0gTzswyBTzz,0.23,https://api.spotify.com/v1/tracks/4dBI72rgkmG0gTzswyBTzz,3,-14.636,0.712,audio_features,0.518
0.194,99.974,0.877,https://api.spotify.com/v1/audio-analysis/68vIv06oWW7Nbj9fAw7ShS,0.272,0,0.0249,7,216317,68vIv06oWW7Nbj9fAw7ShS,Hafdal,23,spotify:track:68vIv06oWW7Nbj9fAw7ShS,0.447,https://api.spotify.com/v1/tracks/68vIv06oWW7Nbj9fAw7ShS,4,-4.402,0.744,audio_features,0.727
0.359,125.954,0.988,https://api.spotify.com/v1/audio-analysis/0t6N8ig7BJAEHrCUfEQxhU,0.131,0,8.86e-05,6,177000,0t6N8ig7BJAEHrCUfEQxhU,My Feelings,61,spotify:track:0t6N8ig7BJAEHrCUfEQxhU,0.463,https://api.spotify.com/v1/tracks/0t6N8ig7BJAEHrCUfEQxhU,4,-1.371,0.234,audio_features,0.681
0.0422,122.076,0.886,https://api.spotify.com/v1/audio-analysis/2sbUWtAhUyGYXiCch6OcmO,0.0844,1,0.731,11,468000,2sbUWtAhUyGYXiCch6OcmO,Summer Daze,35,spotify:track:2sbUWtAhUyGYXiCch6OcmO,0.00267,https://api.spotify.com/v1/tracks/2sbUWtAhUyGYXiCch6OcmO,4,-8.794,0.537,audio_features,0.681
